id,type,reference_time,amplitude,rise_time,temperature,r_chisq,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF20acdafau,SN Ia,2459121.8591576596,1210251719510022.0,3.3541485655743983,11678.183082162686,0.29622035434591776,0.4231999329140692,3.62310552271612,0.9864710261023577,792.2633514931213
ZTF20acdnmpv,SN Ia,2459118.9742944385,1007672703994258.8,2.682517621938874,9941.374403497175,0.038043957967907875,0.16238532546159928,1.3944669710024624,0.12756616013471328,1183.9831109532315
ZTF20acdqjeq,SN Iax[02cx-like],2459118.5299865333,1236354763083107.2,0.9867634089336194,10473.293164482158,0.501509171969162,0.35621195544071543,1.41584183204683,0.1346588946502929,872.0030353999718
ZTF20acduffd,SN Ia,2459119.624673889,2231238166371173.0,2.1130586496600507,15554.837482077424,0.041192765747040214,0.07692561933261172,17.863586353685992,0.0585696165078389,26231.78432638854
ZTF20aceeeuz,Nova,2459121.9609866957,578759823128785.9,0.16028712525925687,10321.35544423944,5.619637343194516,0.2523555237997194,0.790494448083424,0.30891307366928195,1155.927142539761
ZTF20acehyxd,SN Ia,2459121.428971353,774002420057706.6,2.6481246806128107,4414.835474406728,0.14685443614709626,0.14177888195232574,0.7274147084595288,0.12312056363837115,303.08599031050335
ZTF20aceicyy,SLSN-I,2459116.5401988397,620456936436350.9,0.936981581337767,6953.1824036650505,0.21511067531313666,0.06834004943533667,1.4930753729650652,0.09397598694440078,2343.9829648213467
ZTF20aceokvr,SN IIn,2459198.87175456,784063100460489.9,0.10858132926555383,8234.659947938568,0.19749921977023768,4.008415157599806,26.699517538868896,4.201517124639796,5524.40856683741
ZTF20aceqoer,SN Ia,2459120.2065622984,841016082691128.2,3.3260186666099365,8939.799731836594,0.39578341686387963,0.7174835973711342,3.3871999861527358,0.629861403895988,1898.694529206412
ZTF20aceqspy,SLSN-I,2459128.2628818923,3568038362215058.0,7.792725623674737,15368.766631778983,0.4707698734628934,4.455494351073232,31.60816707541366,1.0562688543294851,9073.847474852237
ZTF20acexvcz,SN Ia,2459119.2184103234,1067096846081147.4,2.6602786823249462,10342.96745639511,0.13929461776086535,0.29928209385823235,4.3526973405163485,0.187075008773877,2772.8818347759907
ZTF20acezhcf,SN Iax[02cx-like],2459028.8275862276,644795346966536.1,9.751683870107117,5245.071890219579,0.3967659526044727,0.0,0.0,0.0,0.0
ZTF20acezpem,SN Ia,2459122.779915294,1016994776637716.6,3.428143989133852,10001.670881992908,0.2371870467499179,0.274524214119662,2.819795501512261,0.4719860010243752,1130.3794896780237
ZTF20acfaonm,SN Ia,2459122.6895093466,661351657529516.5,0.19112179677125252,7009.935041907076,1.2099022776917425,2.3041598545451594,0.5234620415381803,4.472540160903274,653.8422859900074
ZTF20acfasbq,SN Ia,2459123.029724338,877942571366192.0,2.4471483893925043,8958.339714208092,0.27366154350769695,0.0902854981245903,0.7566288520662532,0.12581270289494045,459.125966049769
ZTF20acfdmex,SN II,2459119.393063135,993208567610224.6,0.21437240690436668,6714.960680855425,0.06551290000915952,3.1247634436528395,13.713355041202906,1.1859036238355567,64840.98310927424
ZTF20acfkyll,SN II,2459121.5949562485,703364127638290.9,1.2320687486218511,7934.613741561686,1.4727390104005385,0.7788880924635407,0.4496693372879488,0.28060171557489055,243.43776185206116
ZTF20acfkzcg,SN II,2459124.7229065723,631426804271923.9,0.06991658744061484,7129.415294567303,1.4269405533909731,0.0,0.0,0.0,0.0
ZTF20acflmyv,SN Ia,2459125.049738882,1028713621949748.1,3.7299284234217334,10005.33583841794,0.6838827946188601,1.3449253972211839,5.294068913147036,0.5088774430763424,4262.530330354567
ZTF20acfqngt,SN Ic,2459125.9664494945,732525485298686.4,4.680222665787386,4773.2813736025355,0.5435973931561205,0.1310613005084179,0.4512251770506235,0.2538874487673129,170.25534956125648
ZTF20acfvgdp,SN II,2458861.1733793826,656872829631343.5,20.785075010650456,7124.974297586948,0.7390271317113195,33.69466691445085,0.28191932765660255,15.564375663442837,289.41465511782644
